Middle layer Super Output Areas Code,Middle layer Super Output Areas,% 16_to_29,% 30_to_49,% 50_to_69,total
E02000217,Croydon 024,18.87789332,35.98624623,18.57598121,11924
E02000218,Croydon 025,17.95563549,23.78597122,24.47541966,6672
E02000219,Croydon 026,14.65845024,21.09610594,29.0677855,7627
E02000221,Croydon 028,18.40626439,29.19391985,21.18839245,10855
E02000222,Croydon 029,15.8543887,34.72638007,21.33876182,8351
E02000223,Croydon 030,20.22972339,25.23441163,18.75293015,8532
E02000224,Croydon 031,17.56085445,32.97317437,21.11276701,8052
E02000225,Croydon 032,17.96958378,25.29348986,24.46638207,7496
E02000226,Croydon 033,14.61588969,22.54760341,28.50952068,7615
E02000227,Croydon 034,15.34445871,26.78647839,25.04065041,11685
E02000228,Croydon 035,11.19768757,24.53185874,26.24104562,7957
E02000229,Croydon 036,17.81876504,25.6776263,23.06335204,6235
E02000230,Croydon 037,14.49247762,29.81336888,24.33822129,10502
E02000231,Croydon 038,15.85319712,23.84916131,27.62012864,7929
E02000232,Croydon 039,13.71916814,23.61760438,26.66451717,6203
E02000233,Croydon 040,14.61345066,29.79258328,22.64299183,6364
E02000234,Croydon 041,14.89631824,29.83495556,22.10114262,9452
E02000235,Croydon 042,13.1387921,27.07607433,26.8437863,6888
E02000236,Croydon 043,13.07490145,31.61410425,21.84625493,9132
E02000237,Croydon 044,11.99842126,24.93093014,25.72029996,7601
E02000238,Ealing 001,18.75408611,33.92173345,20.94891193,10707
E02000239,Ealing 002,17.32832025,31.6598474,22.6694681,9043
E02000240,Ealing 003,18.90445178,30.00267642,21.18833081,11209
E02000241,Ealing 004,17.74411685,31.59318366,22.46416013,7394
E02000242,Ealing 005,18.63471314,30.82062455,23.61655773,6885
E02000243,Ealing 006,17.64503554,30.7268975,23.34326989,8722
E02000244,Ealing 007,16.96892834,33.0247305,21.85161699,7885
E02000245,Ealing 008,18.13493769,30.76923077,19.90760636,9308
E02000246,Ealing 009,18.8643333,28.77233795,21.24352332,9457
E02000247,Ealing 010,17.56902115,31.12226605,20.33883112,11156
E02000248,Ealing 011,16.74225735,34.22314371,19.02293637,7717
E02000249,Ealing 012,18.08523338,30.15399308,21.40384386,8377
E02000250,Ealing 013,13.2459522,27.43253662,26.35312259,6485
E02000251,Ealing 014,17.09370865,29.64032239,23.74594009,8313
E02000252,Ealing 015,35.49889679,28.9531748,15.32238294,12237
E02000253,Ealing 016,18.47626414,27.85458764,21.98588417,10343
E02000254,Ealing 017,18.78866819,28.8179746,24.27005319,9213
E02000255,Ealing 018,17.58264044,29.07118232,22.80470493,9862
E02000256,Ealing 019,19.10051182,35.24991833,21.24578025,9183
E02000258,Ealing 021,19.11104676,33.22716085,19.32821775,6907
E02000259,Ealing 022,15.51540914,30.84864126,22.96948535,6587
E02000260,Ealing 023,17.92682927,30.31504065,21.54471545,9840
E02000261,Ealing 024,23.46664559,34.00252924,17.70471072,12652
E02000262,Ealing 025,20.40226811,33.37969402,20.62693912,9347
E02000263,Ealing 026,19.8117338,30.5020432,21.19089317,13704
E02000264,Ealing 027,21.46726331,33.20772492,21.10221385,8492
E02000265,Ealing 028,17.67375634,35.22292427,20.23671799,11237
E02000266,Ealing 029,20.54429029,30.85836256,20.59002897,13118
E02000267,Ealing 030,15.24113388,34.63001595,22.07632838,8149
E02000268,Ealing 031,18.02357012,32.26294735,23.59173965,9249
E02000269,Ealing 032,14.26297747,33.3619001,23.77571009,8168
E02000270,Ealing 033,20.63111852,38.10664445,16.71526765,9602
E02000271,Ealing 034,14.4028777,32.05755396,25.10791367,6950
E02000272,Ealing 035,13.48331347,28.66507747,25.23837902,6712
E02000275,Ealing 038,18.67351933,29.72344591,22.72393539,8172
E02000276,Ealing 039,16.35368919,34.88096998,21.18882153,6763
E02000277,Enfield 001,19.05078437,25.83089604,22.00212709,7522
E02000278,Enfield 002,18.80369074,27.33057588,21.6884081,9429
E02000279,Enfield 003,19.76951794,29.51631229,19.46112644,12322
E02000280,Enfield 004,13.95806788,28.50689216,23.19008456,8633
E02000281,Enfield 005,17.83901378,29.07904278,21.25764011,9653
E02000282,Enfield 006,19.54970349,26.64589406,19.5195497,9949
E02000283,Enfield 007,20.56895341,25.7785062,21.73963943,8542
E02000284,Enfield 008,13.72997712,31.28146453,23.3409611,8740
E02000285,Enfield 009,14.59963877,25.15051174,27.67910897,6644
E02000286,Enfield 010,12.16620626,30.22559853,23.34254144,8688
E02000287,Enfield 011,13.62956923,26.14485664,24.74520995,7359
E02000288,Enfield 012,21.26544658,27.27201627,19.12247771,12786
E02000289,Enfield 013,14.37638376,24.50184502,26.55350554,6775
E02000290,Enfield 014,18.5611726,30.22734071,18.42656297,6686
E02000291,Enfield 015,15.41186891,32.44759374,20.5590001,10161
E02000292,Enfield 016,16.68191522,29.60252109,21.90708549,9837
E02000293,Enfield 017,13.11347296,23.61675524,27.66489528,6398
E02000294,Enfield 018,19.38514091,25.65115286,22.51280956,9368
E02000295,Enfield 019,13.55425152,30.7904729,22.80520078,8691
